No,NaptanCode,CommonName
959,73724293,Craigie Knowes Avenue
960,73724374,Knowelea Terrace
961,73724957,Knowelea Terrace
962,73724287,Abbot Crescent
963,73724958,Abbot Crescent
964,73724938,Needless Road
965,73724375,Needless Road
966,73724393,Parish Church
967,73724947,Parish Church
968,73725479,Priory Place
969,73724283,Comleybank
970,73724282,Comleybank
971,73725238,Fitzroy Terrace
972,73724267,Fitzroy Terrace
973,73724259,Whinniemuir Cottages
974,73725249,Whinniemuir Cottages
975,73724262,Murrayshall Road End
976,73725235,Murrayshall Road End
977,73724263,Cemetery
978,73725256,Cemetery
979,73724987,Strathmore Street
980,73724989,Bonhard Road
981,73724276,Bonhard Road
982,73724378,RDM Institute
983,73724928,Hanover Gardens
984,73724387,Hanover Gardens
985,73724954,Stormont Road
986,73724653,Greystanes
987,73724675,Catmoor Road
988,73724386,Corrie Place
989,73724942,Corrie Place
990,73724273,Abbey Terrace
991,73725482,Scone Palace
992,73723945,Kinnoull Street
993,73724963,Upper Springland
994,73724356,Upper Springland
995,73724964,Tayside Nursing Home
996,73724358,Tayside Nursing Home
997,73724329,Bowerswell Road
998,73725483,Inveralmond House
999,73723947,Denmarkfield
1000,73723964,Visitor Centre
1001,73724589,Visitor Centre
1002,73724598,Lyndale
1003,73723949,Innewan Place
1004,73723954,Atholl Hotel
1005,73724595,Atholl Hotel
1006,73723956,Scotstoun
1007,73724746,Scotstoun
1008,73724592,Road End
1009,73724576,Inchewan
1010,73723958,Inchewan
1011,73723959,Laiken
1012,73723925,Royal School Of Dunkeld
1013,73724583,Royal School Of Dunkeld
1014,73723494,Bruce Gardens
1015,73725484,Bruce Gardens
1016,73725485,Royal Dunkeld Hotel
1017,73724579,Rose Cottage
1018,73723892,Rose Cottage
1019,73724648,Bus Bay
1020,73723894,Bus Bay
1021,73723895,Level Crossing
1022,73724829,Level Crossing
1023,73723897,Aldour
1024,73728267,Gowrie Farm
1025,73727969,House No 159
1026,73729378,Visitor Centre
1027,73727438,Airport
1028,73728757,Brickworks
